name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
|Dulari gifts| Led Watch Set of - 5 Multi Color Design Color Silicone Band with Cartoon Touch Button Digital Watch (RANDOM...,kids' fashion,Kids' Watches,https://m.media-amazon.com/images/I/51L5DxKknLL._AC_UL320_.jpg,https://www.amazon.in/AONES-Silicone-Watch-Compatible-Garmin/dp/B0BWW4R12J/ref=sr_1_337?qid=1679221047&s=watches&sr=1-337,,,539,990
A Avon Analog White Dial Women's & Girls' Watch - 1002633,kids' fashion,Kids' Watches,https://m.media-amazon.com/images/I/71ArwDZ+GAL._AC_UL320_.jpg,https://www.amazon.in/Silicone-Waterproof-Digital-Colorful-Character/dp/B0BVVQZW65/ref=sr_1_338?qid=1679221047&s=watches&sr=1-338,,,269,699
A Avon Analogue Multicolour Dial Watch for Boy's & Men - 1002623,kids' fashion,Kids' Watches,https://m.media-amazon.com/images/I/61Asicj8wOS._AC_UL320_.jpg,https://www.amazon.in/Driton-Digital-Images-Projector-Birthday/dp/B094ZYG8VW/ref=sr_1_339?qid=1679221047&s=watches&sr=1-339,3.7,51,279,999
A Avon Digital Sports LED Black Dial Unisex Kids Watch - 1002379,kids' fashion,Kids' Watches,https://m.media-amazon.com/images/I/51b3VlIzVxL._AC_UL320_.jpg,https://www.amazon.in/IZU-Digital-Waterproof-Birthday-Watch-4/dp/B0BG568MW1/ref=sr_1_340?qid=1679221047&s=watches&sr=1-340,5,1,399,999
A Avon Sports Black Dial Digital Watch for Children - 1002844,kids' fashion,Kids' Watches,https://m.media-amazon.com/images/I/71gxMk4iuhL._AC_UL320_.jpg,https://www.amazon.in/ALNA-TURA-Multicolour-Silicone-Birthday-Students/dp/B0B4GCRRJF/ref=sr_1_341?qid=1679221047&s=watches&sr=1-341,2.2,4,499,999
"Accutime Kids Disney Mickey Mouse Minnie Mouse Analog Quartz Time Teacher Wrist Watch for Toddlers, Boys & Girls to Learn ...",kids' fashion,Kids' Watches,https://m.media-amazon.com/images/I/91H9TJ-nTsL._AC_UL320_.jpg,https://www.amazon.in/Sonata-Ocean-Analog-Digital-Black-Watch-NK7989PP01/dp/B00CL58J2I/ref=sr_1_342?qid=1679221047&s=watches&sr=1-342,4.1,210,2.159,2.249
"Accutime Kids Nintendo Super Mario Kart Luigi Bowser Digital LCD Quartz Wrist Watch, Cool Inexpensive Gift & Party Favor f...",kids' fashion,Kids' Watches,https://m.media-amazon.com/images/I/51F8k1UxcoL._AC_UL320_.jpg,https://www.amazon.in/ALNA-TURA-Birthday-Party-Return-Cartoon/dp/B0B615TF5T/ref=sr_1_343?qid=1679221047&s=watches&sr=1-343,3.8,4,599,1.199
ACESHLEY Watch Band Magnetic Leather Strap Compatible with Fossil Gen 4 Explorist HR Watch Replacement Watchband Straps | ...,kids' fashion,Kids' Watches,https://m.media-amazon.com/images/I/610q8cD9iTL._AC_UL320_.jpg,https://www.amazon.in/Shocknshop-Digital-Round-Black-Children/dp/B0BRQG31CB/ref=sr_1_344?qid=1679221047&s=watches&sr=1-344,3.5,2,199,899
ACM Watch Strap Magnetic Loop 20mm compatible with Zebronics 280ch Zeb-Fit Smartwatch Luxury Metal Chain Band,kids' fashion,Kids' Watches,https://m.media-amazon.com/images/I/51fMtB3JpBL._AC_UL320_.jpg,https://www.amazon.in/IZU-Digital-Waterproof-Stylish-Fashionable/dp/B0BW7R9M1H/ref=sr_1_345?qid=1679221047&s=watches&sr=1-345,,,225,999
ACM Watch Strap Magnetic Loop 22mm compatible with Fireboltt Ninja Call 2 Smartwatch Luxury Metal Chain Band,kids' fashion,Kids' Watches,https://m.media-amazon.com/images/I/61rwCR1hMwL._AC_UL320_.jpg,https://www.amazon.in/Digital-Images-Projector-Diwali-Birthday/dp/B08WJG1JTQ/ref=sr_1_346?qid=1679221047&s=watches&sr=1-346,2.8,6,229,499
